Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
20-022874,2020-07,05/29/2020 22:00, , , ,-1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR, , ,64, , , , ,0,0
20-023074,2020-07,05/31/2020 00:01,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,0,ARCH - NORTH LEG,35, ,@ARCH - NORTH LEG, , ,0,0
20-023057,2020-07,05/31/2020 13:00,Y, , ,1, ,130000,6,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",2015,E OBEAR AVE,66, ,REAR ALLEY,2015,OBEAR,903209.7,1033402
20-023111,2020-07,05/31/2020 19:00,Y, , ,1, , 91114,5,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",354,N BOYLE AVE,38, , ,354,BOYLE,891708.3,1022892
20-029765,2020-07,05/31/2020 20:00,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,800,MARKET ST,35, ,@BANK OF AMERICA PZ,800,MARKET,907607,1016897
20-031007,2020-07,06/01/2020 00:01,Y, , ,1, , 52312,4,BURGLARY-BUSINESS/UNK TIME/FORC ENT/UNOCCUPIED,3649,PAGE BLVD,77,DEDICATED SENIOR MEDICAL CENTER, ,3649,PAGE,897672.8,1024494
20-029634,2020-07,06/01/2020 00:01,Y, , ,1, , 52312,4,BURGLARY-BUSINESS/UNK TIME/FORC ENT/UNOCCUPIED,3663,PAGE BLVD,77, ,SUBWAY,3663,PAGE,897721.2,1024345
20-034470,2020-07,06/01/2020 08:00,Y, , ,1, , 69702,5,LARCENY-ALL OTHER UNDER $500,4371,W FAIRFAX CT,58, , ,4371,FAIRFAX,892131.8,1026214
20-030868,2020-07,06/01/2020 10:00,Y, , ,1, , 69702,6,LARCENY-ALL OTHER UNDER $500,3823,LEE AVE,67, , ,3823,LEE,900674.1,1032323
20-030859,2020-07,06/01/2020 12:00,Y, , ,1, , 67601,1,"LARCENY-FROM BUILDING $500 - $24,999",7336,HAMPSHIRE DR,6, , ,7336,HAMPSHIRE,878870,995024.6
20-030672,2020-07,06/01/2020 12:00,Y, , ,1, , 51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,8511,RIVERVIEW BLVD,73, , ,8511,RIVERVIEW,893264.9,1048513
20-032397,2020-07,06/01/2020 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,5028,QUEENS AVE,71, , ,5028,QUEENS,893194.8,1039379
